x,y,V,t
20230.2,5110.69,352.519,59.94
20233,5108.52,352.551,59.95
20235.8,5106.35,352.583,59.96
20238.6,5104.17,352.614,59.97
20241.4,5102,352.646,59.98
20244.2,5099.82,352.678,59.99
20246.9,5097.65,352.71,60
20249.7,5095.47,352.742,60.01
20252.5,5093.29,352.774,60.02
20255.3,5091.11,352.806,60.03
20258.1,5088.93,352.838,60.04
20260.8,5086.75,352.869,60.05
20263.6,5084.57,352.901,60.06
20266.4,5082.39,352.933,60.07
20269.2,5080.21,352.965,60.08
20272,5078.03,352.997,60.09
20274.7,5075.84,353.029,60.1
20277.5,5073.66,353.06,60.11
20280.3,5071.47,353.092,60.12
20283.1,5069.28,353.124,60.13
20285.8,5067.1,353.156,60.14
20288.6,5064.91,353.188,60.15
20291.4,5062.72,353.22,60.16
20294.2,5060.53,353.251,60.17
20297,5058.34,353.283,60.18
20299.7,5056.15,353.315,60.19
20302.5,5053.96,353.347,60.2
20305.3,5051.76,353.379,60.21
20308.1,5049.57,353.411,60.22
20310.8,5047.37,353.442,60.23
20313.6,5045.18,353.474,60.24
20316.4,5042.98,353.506,60.25
20319.2,5040.79,353.537,60.26
20321.9,5038.59,353.569,60.27
20324.7,5036.39,353.601,60.28
20327.5,5034.19,353.632,60.29
20330.3,5031.99,353.664,60.3
20333,5029.79,353.696,60.31
20335.8,5027.59,353.728,60.32
20338.6,5025.38,353.759,60.33
20341.3,5023.18,353.791,60.34
20344.1,5020.98,353.823,60.35
20346.9,5018.77,353.854,60.36
20349.7,5016.57,353.886,60.37
20352.4,5014.36,353.918,60.38
20355.2,5012.15,353.95,60.39
20358,5009.94,353.981,60.4
20360.8,5007.73,354.013,60.41
20363.5,5005.53,354.045,60.42
20366.3,5003.31,354.076,60.43
20369.1,5001.1,354.108,60.44
20371.8,4998.89,354.14,60.45
20374.6,4996.68,354.171,60.46
20377.4,4994.46,354.203,60.47
20380.1,4992.25,354.234,60.48
20382.9,4990.03,354.266,60.49
20385.7,4987.82,354.298,60.5
20388.5,4985.6,354.329,60.51
20391.2,4983.38,354.361,60.52
20394,4981.16,354.392,60.53
20396.8,4978.95,354.424,60.54
20399.5,4976.73,354.455,60.55
20402.3,4974.5,354.487,60.56
20405.1,4972.28,354.519,60.57
20407.8,4970.06,354.55,60.58
20410.6,4967.84,354.582,60.59
20413.4,4965.61,354.613,60.6
20416.1,4963.39,354.645,60.61
20418.9,4961.16,354.676,60.62
20421.7,4958.94,354.708,60.63
20424.4,4956.71,354.74,60.64
20427.2,4954.48,354.771,60.65
20430,4952.25,354.803,60.66
20432.7,4950.02,354.834,60.67
20435.5,4947.79,354.866,60.68
20438.3,4945.56,354.897,60.69
20441,4943.33,354.929,60.7
20443.8,4941.09,354.96,60.71
20446.6,4938.86,354.992,60.72
20449.3,4936.63,355.023,60.73
20452.1,4934.39,355.054,60.74
20454.8,4932.15,355.086,60.75
20457.6,4929.92,355.117,60.76
20460.4,4927.68,355.149,60.77
20463.1,4925.44,355.18,60.78
20465.9,4923.2,355.211,60.79
20468.7,4920.96,355.243,60.8
20471.4,4918.72,355.274,60.81
20474.2,4916.48,355.306,60.82
20476.9,4914.24,355.337,60.83
20479.7,4911.99,355.369,60.84
20482.5,4909.75,355.4,60.85
20485.2,4907.51,355.431,60.86
20488,4905.26,355.463,60.87
20490.8,4903.01,355.494,60.88
20493.5,4900.77,355.526,60.89
20496.3,4898.52,355.557,60.9
20499,4896.27,355.588,60.91
20501.8,4894.02,355.62,60.92
20504.6,4891.77,355.651,60.93
20507.3,4889.52,355.682,60.94
20510.1,4887.27,355.713,60.95
20512.8,4885.01,355.745,60.96
20515.6,4882.76,355.776,60.97
20518.3,4880.51,355.807,60.98
20521.1,4878.25,355.839,60.99
20523.9,4876,355.87,61
20526.6,4873.74,355.901,61.01
20529.4,4871.48,355.932,61.02
20532.1,4869.22,355.964,61.03
20534.9,4866.97,355.995,61.04
20537.6,4864.71,356.026,61.05
20540.4,4862.44,356.057,61.06
20543.2,4860.18,356.089,61.07
20545.9,4857.92,356.12,61.08
20548.7,4855.66,356.151,61.09
20551.4,4853.39,356.183,61.1
20554.2,4851.13,356.214,61.11
20556.9,4848.87,356.245,61.12
20559.7,4846.6,356.276,61.13
20562.4,4844.33,356.307,61.14
20565.2,4842.06,356.338,61.15
20568,4839.8,356.37,61.16
20570.7,4837.53,356.401,61.17
20573.5,4835.26,356.432,61.18
20576.2,4832.99,356.463,61.19
20579,4830.71,356.494,61.2
20581.7,4828.44,356.525,61.21
20584.5,4826.17,356.556,61.22
20587.2,4823.9,356.587,61.23
20590,4821.62,356.618,61.24
20592.7,4819.35,356.65,61.25
20595.5,4817.07,356.681,61.26
20598.2,4814.79,356.712,61.27
20601,4812.51,356.743,61.28
20603.7,4810.24,356.774,61.29
20606.5,4807.96,356.805,61.3
20609.2,4805.68,356.836,61.31
20612,4803.4,356.867,61.32
20614.7,4801.11,356.899,61.33
